id,created_at,user_id,screen_name,text
1070371254430040065,2018-12-05 17:36:08,949700275161501698,Michael96425866,"b""RT @Michael96425866: Win The Latest Tech available in the Market Today. one Participant will win an iPhoneX don't miss this opportunity. ht\xe2\x80\xa6"""
1070371237195644929,2018-12-05 17:36:04,949700275161501698,Michael96425866,"b""Win The Latest Tech available in the Market Today. one Participant will win an iPhoneX don't miss this opportunity. https://t.co/LK9bMf0ykV"""
1070368487690752000,2018-12-05 17:25:08,1061677309260791808,AkinRolando,b'Enter for a chance to win a iPhone X!        https://t.co/aeitUUaX4k'
1070367244440481793,2018-12-05 17:20:12,1015910920281784320,uhokae_imfoxy,"b""RT @BIG_BABY327: \xe2\x9a\x94\n\n-    \xf0\x9d\x90\x88'\xf0\x9d\x90\x8c \xf0\x9d\x90\x8b\xf0\x9d\x90\x88\xf0\x9d\x90\x8b\xf0\x9d\x90\x88   -\xe3\x80\x80BLACKPINK LISA Glitter case\n\niphoneX Ver. preview \n\n\xe2\x9a\x94\n*DM for group order request*\n\n#BLACKPINK #LISA\xe2\x80\xa6"""
1070367152794828800,2018-12-05 17:19:50,725246818590724096,MDN765,b'one of my #Creativity\nThe best pic #Mindset\n#iphoneX https://t.co/kOmvtgSU4J'
1070366187857604610,2018-12-05 17:16:00,193405540,dessiewisley,"b'@AppleSupport  your share price deserves to go even lower , an iPhone X camera glass replacement incurs a \xe2\x82\xac560 fee\xe2\x80\xa6 https://t.co/VZCWnLksbR'"
1070365938795536384,2018-12-05 17:15:00,1061677309260791808,AkinRolando,b'Enter for a chance to win a iPhone X!        https://t.co/aeitUUaX4k https://t.co/m7vcrjXM1j'
1070365886085820416,2018-12-05 17:14:48,3298930011,DarthNewsSide,b'Unboxing del mini (micro) iPhone X \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\n\nhttps://t.co/TF5kEKTUua\n\n#Apple #iPhone #iPhoneX #iPhoneXS #iPhoneXSmax\xe2\x80\xa6 https://t.co/fEQKH1MG1x'
1070365120935514112,2018-12-05 17:11:45,113278304,littlebluestore,b'The Bandolier makes a great holiday gift \xf0\x9f\x8e\x81 #phonecases #bandolier #bandolierstyle #iphonex #santa #christmas\xe2\x80\xa6 https://t.co/8BmHZzIrW1'
1070364584559693826,2018-12-05 17:09:38,133461843,mikemarsdale,b'windows\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n#windows #glass #texture #lightroom #lightroomedits #iphonex #shotoniphone  #bw #blackandwhite\xe2\x80\xa6 https://t.co/5QI0O2ETsF'
